"","time","democracy"
"1",1800,0
"2",1801,0
"3",1802,0
"4",1803,0
"5",1804,0
"6",1805,0
"7",1806,0
"8",1807,0
"9",1808,0
"10",1809,0
"11",1810,0
"12",1811,0
"13",1812,0
"14",1813,0
"15",1814,0
"16",1815,0
"17",1816,0
"18",1817,0
"19",1818,0
"20",1819,0
"21",1820,0
"22",1821,0
"23",1822,0
"24",1823,0
"25",1824,0
"26",1825,0
"27",1826,0
"28",1827,0
"29",1828,0
"30",1829,0
"31",1830,0
"32",1831,0
"33",1832,0
"34",1833,0
"35",1834,0
"36",1835,0
"37",1836,0
"38",1837,0
"39",1838,0
"40",1839,0
"41",1840,0
"42",1841,0
"43",1842,0
"44",1843,0
"45",1844,0
"46",1845,0
"47",1846,0
"48",1847,0
"49",1848,2
"50",1849,0
"51",1850,0
"52",1851,0
"53",1852,0
"54",1853,0
"55",1854,1
"56",1855,0
"57",1856,0
"58",1857,1
"59",1858,0
"60",1859,0
"61",1860,0
"62",1861,0
"63",1862,0
"64",1863,0
"65",1864,1
"66",1865,0
"67",1866,0
"68",1867,1
"69",1868,0
"70",1869,0
"71",1870,0
"72",1871,1
"73",1872,0
"74",1873,0
"75",1874,0
"76",1875,0
"77",1876,0
"78",1877,0
"79",1878,0
"80",1879,0
"81",1880,0
"82",1881,0
"83",1882,0
"84",1883,0
"85",1884,0
"86",1885,1
"87",1886,0
"88",1887,0
"89",1888,0
"90",1889,0
"91",1890,1
"92",1891,0
"93",1892,0
"94",1893,0
"95",1894,1
"96",1895,0
"97",1896,0
"98",1897,1
"99",1898,0
"100",1899,0
"101",1900,1
"102",1901,2
"103",1902,0
"104",1903,0
"105",1904,0
"106",1905,0
"107",1906,0
"108",1907,0
"109",1908,0
"110",1909,2
"111",1910,0
"112",1911,2
"113",1912,1
"114",1913,0
"115",1914,0
"116",1915,0
"117",1916,0
"118",1917,1
"119",1918,3
"120",1919,4
"121",1920,3
"122",1921,1
"123",1922,0
"124",1923,0
"125",1924,0
"126",1925,0
"127",1926,0
"128",1927,0
"129",1928,0
"130",1929,0
"131",1930,0
"132",1931,0
"133",1932,1
"134",1933,0
"135",1934,0
"136",1935,0
"137",1936,0
"138",1937,0
"139",1938,0
"140",1939,0
"141",1940,0
"142",1941,0
"143",1942,0
"144",1943,1
"145",1944,1
"146",1945,3
"147",1946,5
"148",1947,0
"149",1948,3
"150",1949,2
"151",1950,2
"152",1951,0
"153",1952,1
"154",1953,0
"155",1954,0
"156",1955,1
"157",1956,2
"158",1957,0
"159",1958,1
"160",1959,0
"161",1960,5
"162",1961,1
"163",1962,0
"164",1963,0
"165",1964,0
"166",1965,0
"167",1966,2
"168",1967,0
"169",1968,0
"170",1969,0
"171",1970,1
"172",1971,2
"173",1972,0
"174",1973,0
"175",1974,2
"176",1975,3
"177",1976,0
"178",1977,0
"179",1978,3
"180",1979,5
"181",1980,0
"182",1981,0
"183",1982,2
"184",1983,2
"185",1984,4
"186",1985,1
"187",1986,3
"188",1987,0
"189",1988,3
"190",1989,0
"191",1990,4
"192",1991,13
"193",1992,9
"194",1993,5
"195",1994,5
"196",1995,1
"197",1996,0
"198",1997,3
"199",1998,0
"200",1999,0
"201",2000,2
"202",2001,1
"203",2002,3
"204",2003,1
"205",2004,1
"206",2005,0
"207",2006,4
"208",2007,0
"209",2008,3
"210",2009,0
"211",2010,0
"212",2011,2
"213",2012,0
"214",2013,0
"215",2014,0
"216",2015,2
"217",2016,0
"218",2017,0
"219",2018,0
"220",2019,1
"221",2020,0
