days,cases
1,160.0
2,148.0
3,144.0
4,97.0
5,245.0
6,224.0
7,296.0
8,412.0
9,267.0
10,290.0
11,336.0
12,488.0
13,515.0
14,508.0
15,576.0
16,618.0
17,665.0
18,924.0
19,966.0
20,1152.0
21,1338.0
22,1450.0
23,1432.0
24,1638.0
25,2361.0
26,2943.0
27,3661.0
28,4224.0
29,5056.0
30,5538.0
31,6797.0
32,8911.0
33,11480.0
34,12087.0
35,15264.0
36,17123.0
37,18371.0
38,22590.0
39,28315.0
40,29989.0
41,36084.0
42,44380.0
43,44221.0
44,40259.0
45,38770.0
46,69046.0
47,65419.0
48,64958.0
49,63857.0
50,68686.0
51,61678.0
52,65567.0
53,84092.0
54,90905.0
55,85245.0
56,84537.0
57,79423.0
58,66154.0
59,82598.0
60,89361.0
61,81842.0
62,94084.0
63,80754.0
64,76507.0
65,60030.0
66,80598.0
67,88161.0
68,76746.0
69,76514.0
70,68102.0
71,62077.0
72,52988.0
73,82954.0
74,80162.0
75,72918.0
76,68312.0
77,52600.0
78,77560.0
79,45083.0
80,66154.0
81,68930.0
82,63184.0
83,55237.0
84,53655.0
85,50585.0
86,35608.0
87,56333.0
88,52197.0
89,48302.0
90,45722.0
91,40362.0
92,39620.0
93,28549.0
94,44374.0
95,42158.0
96,38903.0
97,35751.0
98,34777.0
99,32667.0
100,23099.0
101,35984.0
102,34535.0
103,31419.0
104,30443.0
105,28102.0
106,27823.0
107,19104.0
108,31235.0
109,29867.0
110,27647.0
111,25264.0
112,25250.0
113,24178.0
114,18093.0
115,27102.0
116,27147.0
117,25135.0
118,24065.0
119,22568.0
120,21706.0
121,17115.0
122,25039.0
123,25654.0
124,23933.0
125,23238.0
126,21461.0
127,21044.0
128,16567.0
129,23520.0
130,23893.0
131,22896.0
132,21818.0
133,19919.0
134,21922.0
135,15384.0
136,23628.0
137,23765.0
138,22857.0
139,21947.0
140,21248.0
141,21057.0
142,15755.0
143,23121.0
144,24800.0
145,23369.0
146,22759.0
147,22102.0
148,22349.0
149,16887.0
150,26324.0
151,28512.0
152,27193.0
153,26705.0
154,25845.0
155,26716.0
156,20412.0
157,31423.0
158,34548.0
159,34049.0
160,33755.0
161,32763.0
162,34302.0
163,24054.0
164,36624.0
165,41228.0
166,35078.0
167,34208.0
168,35776.0
169,32088.0
170,25546.0
171,46968.0
172,49636.0
173,45438.0
174,45405.0
