Month,BEV,PHEV,HEV,Total LDV
Dec-10,19,326,28592,1144840
Jan-11,103,321,19540,819938
Feb-11,83,281,23306,993535
Mar-11,298,608,34533,1246668
Apr-11,573,493,25602,1157928
May-11,1150,481,17419,1061841
Jun-11,1708,561,12655,1053414
Jul-11,932,125,19621,1059730
Aug-11,1363,302,21181,1072379
Sep-11,1031,723,17625,1053761
Oct-11,866,1108,20057,1021185
Nov-11,773,1139,26110,994786
Dec-11,1212,1529,31100,1243784
Jan-12,824,603,21779,913284
Feb-12,639,1023,36222,1149432
Mar-12,961,3200,48206,1404623
Apr-12,479,3116,39901,1184567
May-12,612,2766,37184,1334642
Jun-12,863,2455,34558,1285499
Jul-12,479,2537,31611,1153759
Aug-12,866,3878,38369,1285292
Sep-12,1306,4503,34836,1188899
Oct-12,2240,4994,33290,1092294
Nov-12,2614,4544,35002,1143916
Dec-12,2704,4965,43690,1356070
Jan-13,2372,2354,34611,1043238
Feb-13,2666,2789,40173,1192299
Mar-13,4553,3079,46327,1453038
Apr-13,4403,2735,42804,1285446
May-13,4545,3209,48796,1443311
Jun-13,4573,4169,44924,1403121
Jul-13,3943,3499,45494,1313844
Aug-13,4956,6407,53020,1501294
Sep-13,3650,4477,33576,1137206
Oct-13,3733,6367,33570,1206182
Nov-13,3930,4903,36085,1243852
Dec-13,4770,5020,36155,1358734
Jan-14,2971,2934,27555,1011187
Feb-14,3324,3721,30561,1192467
Mar-14,4578,4594,43790,1537270
Apr-14,4187,4718,39430,1391303
May-14,5802,6651,52227,1609678
Jun-14,4982,6511,39225,1421963
Jul-14,5693,5740,44488,1435805
Aug-14,6483,5920,48208,1586374
Sep-14,5983,3357,31385,1245786
Oct-14,5927,3735,30892,1281132
Nov-14,6176,3609,31109,1302655
Dec-14,7419,3867,33302,1507928
Jan-15,3977,2113,25312,1152480
Feb-15,4435,2589,27038,1258570
Mar-15,5715,3020,33654,1545710
Apr-15,6037,2962,32379,1455242
May-15,7057,4416,40257,1634952
Jun-15,6975,3409,32330,1476472
Jul-15,5143,3836,35666,1510941
Aug-15,5224,3786,37633,1577179
Sep-15,6704,3038,32106,1442113
Oct-15,5740,4081,30485,1455153
Nov-15,6103,4275,25153,1318210
Dec-15,7954,5483,32387,1641913
Jan-16,3576,3137,20967,1148087
Feb-16,4424,3909,24371,1343922
Mar-16,7115,5319,28756,1595065
Apr-16,6266,5842,28988,1506431
May-16,6526,5619,30573,1535670
Jun-16,7678,6113,27681,1512996
Jul-16,7762,6525,32633,1521245
Aug-16,8601,6372,32206,1511405
Sep-16,10032,6037,31286,1434483
Oct-16,5408,5943,26484,1370721
Nov-16,6266,7858,28497,1378635
Dec-16,13077,10211,34507,1688368
Jan-17,5398,5669,22630,1142568
Feb-17,5846,6247,28355,1333128
Mar-17,10171,7384,32012,1554998
Apr-17,5961,7300,30949,1426883
May-17,8038,8645,33729,1519793
Jun-17,8814,7787,30073,1474970
Jul-17,7802,7407,29050,1416743
Aug-17,8850,7668,34850,1484826
Sep-17,13421,7719,37319,1525522
Oct-17,6792,6665,29451,1356789
Nov-17,8435,8408,30075,1399640
Dec-17,14959,10289,32187,1605527
Jan-18,9154,6241,21718,1151011
Feb-18,6653,8783,24609,1293763
Mar-18,11060,11601,28165,1647090
Apr-18,12794,9931,24827,1353546
May-18,12232,11403,31602,1586493
Jun-18,12997,10485,31038,1543716
Jul-18,15387,9269,28203,1362964
Aug-18,20222,10132,30182,1482215
Sep-18,24163,10777,31985,1432136
Oct-18,29937,9937,28614,1360281
Nov-18,24089,11580,27453,1382553
Dec-18,28374,13744,29753,1617778
Jan-19,26942,6010,19153,1133157
Feb-19,10644,6610,22730,1251513
Mar-19,17281,8074,30926,1598811
Apr-19,20113,5908,33082,1326555
May-19,18012,7949,44162,1581479
Jun-19,23421,7999,39247,1509674
Jul-19,23559,7197,36341,1396460
Aug-19,18864,8433,42830,1638722
Sep-19,21812,5816,29848,1267150
Oct-19,23072,6388,32457,1333995
Nov-19,11421,7733,32962,1403153
Dec-19,18681,7674,35706,1512243
Jan-20,26391,5104,27166,1136560
Feb-20,11151,6111,32309,1350570
Mar-20,18234,3481,23591,989954
Apr-20,8058,2015,14268,715322
May-20,8626,3911,27740,1119089
Jun-20,16809,4206,41590,1101169
Jul-20,23075,5228,43738,1236643
Aug-20,17291,6478,42191,1318070
Sep-20,28101,6670,43293,1341099
Oct-20,29959,7755,47611,1358922
Nov-20,22225,7369,47724,1199137
Dec-20,28620,10721,63846,1605497
Jan-21,25103,7463,46843,1106286
Feb-21,26215,9046,54045,1193776
Mar-21,40755,12261,78123,1597152
Apr-21,33547,18604,76397,1518415
May-21,29796,20807,82511,1570313
Jun-21,45913,16648,65960,1302213
Jul-21,42013,15669,74298,1280803
Aug-21,35499,14067,67976,1092661
Sep-21,42020,12554,60102,1015935
Oct-21,42485,18275,63482,1051015
Nov-21,46687,14170,59326,1014411
Dec-21,49441,16553,69983,1203993
Jan-22,42780,11983,63093,991573
Feb-22,46859,12563,58175,1045624
Mar-22,64160,16200,76683,1257821
Apr-22,52537,17875,71849,1236432
May-22,52502,15263,68737,1108063
Jun-22,74262,14838,61039,1143820
Jul-22,64310,13932,59229,1126523
Aug-22,59836,13797,58869,1134265
Sep-22,69811,13415,55892,1124297
Oct-22,71739,17603,66661,1181540
Nov-22,69924,16183,57086,1135484
Dec-22,79262,19759,69099,1268897
Jan-23,72944,15593,60069,1046919
Feb-23,80759,17484,66320,1138635
Mar-23,89648,20540,94289,1375194
Apr-23,92631,23355,100528,1361694
May-23,92897,25134,103832,1362535
Jun-23,100745,23181,100762,1368178
Jul-23,99259,23840,103757,1298913
Aug-23,92277,28148,107325,1316366
Sep-23,101719,29632,109269,1331167
Oct-23,90509,22037,103799,1193974
Nov-23,102323,24530,108549,1235583
Dec-23,121647,41121,117098,1458853
Jan-24,79517,25741,90970,1076047
